channel_1,channel_2,channel_3,channel_4
-0.008563197,-0.006942396,-0.0055600996,-0.0043057525
-0.04264968,-0.041078027,-0.03976699,-0.038505517
0.09542185,0.096596576,0.09770888,0.098872565
0.13308895,0.13408823,0.13502046,0.1359632
0.09810152,0.09856768,0.09893066,0.099192694
0.16036156,0.16094995,0.16146028,0.16186422
0.3264335,0.32738665,0.32830906,0.3292049
0.5124517,0.5127632,0.5130671,0.5133318
0.7128223,0.7126641,0.71253294,0.7123222
0.74542975,0.74611497,0.74685824,0.7475337
0.6894102,0.6906839,0.69195837,0.6931465
0.66646427,0.66723233,0.6678509,0.668316
0.6032923,0.60375005,0.6039384,0.6039896
0.4796802,0.4799039,0.4798314,0.47970396
0.5060099,0.5055402,0.5048467,0.50412154
0.5538301,0.553472,0.55302864,0.552538
0.45607135,0.4571102,0.45820478,0.45928645
0.3802533,0.3818574,0.38364267,0.38547552
0.433271,0.43482018,0.43651834,0.4382871
0.2693376,0.27164406,0.27393192,0.2762319
-0.06704783,-0.06289004,-0.058903378,-0.054967638
-0.15908483,-0.15706854,-0.15515967,-0.1532922
-0.03284555,-0.03265284,-0.032558527,-0.03250959
-0.18034512,-0.18015136,-0.18006386,-0.18008597
-0.21214181,-0.21124281,-0.21038122,-0.20962672
0.0130282985,0.014021972,0.0150974365,0.01614973
0.033197425,0.03467297,0.036221087,0.03771111
-0.17629138,-0.17403167,-0.17186376,-0.16989484
-0.21101038,-0.20905676,-0.20728444,-0.20567411
-0.13661566,-0.13514775,-0.13370143,-0.13233444
-0.04198992,-0.04158155,-0.041108523,-0.04074165
0.06666987,0.06677513,0.06676788,0.06669238
0.27790958,0.27818283,0.27827984,0.2783606
0.4963246,0.49654794,0.49673888,0.49692333
0.76803046,0.7683179,0.7686315,0.76891786
0.93562895,0.93630433,0.93691075,0.93750095
0.88414216,0.88469076,0.88514984,0.8855842
0.76436716,0.76415783,0.76387787,0.7635255
0.7652346,0.76492864,0.7644524,0.76392275
0.64234656,0.642609,0.64263165,0.6426671
0.28081092,0.28102368,0.28109136,0.28122512
0.01603329,0.01643144,0.016724516,0.017099854
-0.07143825,-0.06858836,-0.06599992,-0.06327567
-0.16286756,-0.15818708,-0.15362008,-0.14891225
-0.3675376,-0.3631811,-0.3587274,-0.3541521
-0.6100758,-0.6064409,-0.60272366,-0.59892076
-0.7341821,-0.7314345,-0.72865766,-0.72580755
-0.7073742,-0.70583475,-0.70425564,-0.7025889
-0.59037465,-0.5891035,-0.5878425,-0.586497
-0.4321222,-0.43046272,-0.4289048,-0.42730358
-0.07756359,-0.075514406,-0.073643684,-0.07174854
0.23624972,0.23724401,0.23809852,0.23902188
0.34428218,0.345058,0.34569472,0.34646818
0.3798704,0.37939808,0.3787933,0.37832153
0.48279238,0.48104045,0.47911808,0.47727033
0.63361114,0.63217425,0.63050616,0.6288753
0.70318556,0.7023361,0.7013481,0.70041746
0.75310636,0.75194865,0.75077903,0.7496815
0.7584471,0.75724554,0.75604993,0.7548775
0.75847954,0.75786746,0.75714684,0.7563434
0.8062564,0.8056228,0.80483943,0.80394197
0.8333634,0.8318646,0.83035314,0.82877713
0.7163831,0.714765,0.71325225,0.7116995
0.6372622,0.6358167,0.63444114,0.63304067
0.5101641,0.50853884,0.5068496,0.50516087
0.27587482,0.27472365,0.27352172,0.2723648
0.09540793,0.09611692,0.09696602,0.09792394
-0.017685978,-0.013831559,-0.009639399,-0.005188197
-0.26386115,-0.2615244,-0.25903982,-0.25638202
-0.5459253,-0.5456645,-0.54534537,-0.54492736
-0.585146,-0.5855123,-0.58580506,-0.5860052
-0.5607376,-0.5613827,-0.5619121,-0.56236637
-0.7052191,-0.7064422,-0.70748395,-0.70851403
-0.8263007,-0.82763445,-0.8288147,-0.83000857
-0.7729643,-0.77462995,-0.77620476,-0.777796
-0.6903479,-0.6926429,-0.69478285,-0.69693947
-0.7207694,-0.72324574,-0.7255025,-0.7277555
-0.8023791,-0.80489135,-0.8073186,-0.8097221
-0.7921583,-0.79507506,-0.797985,-0.8009148
-0.6765247,-0.6795454,-0.6824063,-0.68535775
-0.56746054,-0.57019717,-0.57266974,-0.5752303
